"pridelek";"Regija";"leto";"Kolicina"
"Oves";"Obalno-kraška";"2010";2,2
"Oves";"Obalno-kraška";"2011";2,6
"Oves";"Obalno-kraška";"2012";2,1
"Oves";"Obalno-kraška";"2013";2,7
"Oves";"Obalno-kraška";"2014";2,6
"Oves";"Obalno-kraška";"2015";2,7
"Oves";"Obalno-kraška";"2016";2,7
"Oves";"Obalno-kraška";"2017";2,3
"Oves";"Obalno-kraška";"2018";2,5
"Oves";"Obalno-kraška";"2019";2,8
"Rž";"Pomurska";"2010";3
"Rž";"Pomurska";"2011";3,3
"Rž";"Pomurska";"2012";3,4
"Rž";"Pomurska";"2013";2,9
"Rž";"Pomurska";"2014";3,7
"Rž";"Pomurska";"2015";3,6
"Rž";"Pomurska";"2016";3,7
"Rž";"Pomurska";"2017";4
"Rž";"Pomurska";"2018";3,1
"Rž";"Pomurska";"2019";4
"Rž";"Podravska";"2010";3,9
"Rž";"Podravska";"2011";4,3
"Rž";"Podravska";"2012";4,6
"Rž";"Podravska";"2013";4,1
"Rž";"Podravska";"2014";4,9
"Rž";"Podravska";"2015";4,1
"Rž";"Podravska";"2016";5,2
"Rž";"Podravska";"2017";4,4
"Rž";"Podravska";"2018";4,6
"Rž";"Podravska";"2019";4,2
"Rž";"Koroška";"2010";2,9
"Rž";"Koroška";"2011";3,1
"Rž";"Koroška";"2012";3
"Rž";"Koroška";"2013";2,9
"Rž";"Koroška";"2014";2,9
"Rž";"Koroška";"2015";3,4
"Rž";"Koroška";"2016";3,3
"Rž";"Koroška";"2017";3,4
"Rž";"Koroška";"2018";3
"Rž";"Koroška";"2019";4
"Rž";"Savinjska";"2010";3,2
"Rž";"Savinjska";"2011";3,2
"Rž";"Savinjska";"2012";3,2
"Rž";"Savinjska";"2013";3,4
"Rž";"Savinjska";"2014";3,8
"Rž";"Savinjska";"2015";4,1
"Rž";"Savinjska";"2016";3,2
"Rž";"Savinjska";"2017";3,8
"Rž";"Savinjska";"2018";3
"Rž";"Savinjska";"2019";3,2
"Rž";"Zasavska";"2013";3,1
"Rž";"Zasavska";"2018";3,4
"Rž";"Zasavska";"2019";3,8
"Rž";"Posavska";"2010";2,8
"Rž";"Posavska";"2011";3,1
"Rž";"Posavska";"2012";3
"Rž";"Posavska";"2013";2,6
"Rž";"Posavska";"2014";2,7
"Rž";"Posavska";"2015";3,7
"Rž";"Posavska";"2016";2,8
"Rž";"Posavska";"2017";2,3
"Rž";"Posavska";"2018";2,5
"Rž";"Posavska";"2019";3,4
"Rž";"Jugovzhodna Slovenija";"2010";3,7
"Rž";"Jugovzhodna Slovenija";"2011";2,8
"Rž";"Jugovzhodna Slovenija";"2012";3,9
"Rž";"Jugovzhodna Slovenija";"2013";1,9
"Rž";"Jugovzhodna Slovenija";"2014";2,8
"Rž";"Jugovzhodna Slovenija";"2015";4,1
"Rž";"Jugovzhodna Slovenija";"2016";3,6
"Rž";"Jugovzhodna Slovenija";"2017";3,7
"Rž";"Jugovzhodna Slovenija";"2018";3,1
